variable,col,n,r,ci_lo,ci_hi,p
Academic self-rating,acad_rating,200,0.5365676241086705,0.42982443177249036,0.6285191959576615,2.627154998899168e-16
Daily study hours,study_hrs_n,200,0.46651106746888593,0.35045283856676135,0.5684590167286289,3.3448440700286975e-12
Daily screen time,screen_n,200,-0.2077656929653418,-0.3367982876544131,-0.07107341317814897,0.0031560444691937145
Perceived stress,stress_n,200,-0.1572770567694229,-0.28969666521093146,-0.018949535166706003,0.026138189577265734
Weekly work hours,work_hrs_n,200,-0.15184520600527768,-0.28459070388363905,-0.013386199983069672,0.03183969789272536
Avoid screen before sleep,screen_sleep_b,200,0.14118225532795728,0.0024900139340273343,0.2745455358846108,0.046140787359004565
Part-time job,pt_job_b,200,-0.11997987197287412,-0.2544847019467582,0.019078730249400034,0.09059744535476648
Age,Age,200,0.1029359329062644,-0.03632383888068648,0.2382740525271187,0.14692887233298838
Phone: gaming,Gaming,200,-0.08854369599726263,-0.2245264836771533,0.05082164494336754,0.21247139998404307
Extracurriculars,ECA_b,200,-0.08687126068771904,-0.22292544316585083,0.052502547086352075,0.22126991022105932
Travel time,travel_n,200,-0.08102986051938602,-0.21732764249206185,0.05836732985266397,0.25402427319982274
Sleep duration,sleep_hrs_n,200,0.07634363485915052,-0.06306536831895003,0.2128303523830005,0.28261496474011855
Phone: entertainment,Entertainment,200,-0.06584672368898567,-0.20273561900915252,0.07356636746819369,0.35424736989642597
Gender (Male=1),Gender_b,200,-0.06026848823821097,-0.19735924245432818,0.079134224509373,0.39657516878917626
Phone: study purpose,Study_Purpose,200,0.05452609276591124,-0.08485686509511245,0.19181601874838494,0.4431690888943406
Financial condition,fin_cond_n,200,-0.025863277075284793,-0.16401575499426158,0.11328423565646811,0.7162088701004178
Travel impact (perceived),travel_impact_b,200,-0.02200653446571497,-0.1602582477647962,0.11709198704789035,0.757088674537997
Time of study (morning bias),time_sin,200,-0.019446301644628492,-0.1577616759137783,0.1196174413809929,0.7846116282558859
Phone: social media,Social_Media,200,0.001336069767342153,-0.1374304206030829,0.14005112402872918,0.9850194375328294
